s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-13.2428634,-39.2156937,-0.5409050,0.001598,6.0,0.0
1.9900000,-11.5361280,-40.2389992,-0.5401025,-0.000000,6.0,0.0
3.9800000,-9.8293925,-41.2623048,-0.5401025,0.000000,6.0,0.0
5.9700000,-8.1226571,-42.2856103,-0.5401025,-0.000000,6.0,0.0
7.9600000,-6.4159217,-43.3089159,-0.5401025,0.000000,6.0,0.0
9.9500000,-4.7091863,-44.3322214,-0.5401025,-0.000000,6.0,0.0
11.9400000,-3.0024509,-45.3555270,-0.5401025,0.000000,6.0,0.0
13.9300000,-1.2957155,-46.3788325,-0.5401025,0.000000,6.0,0.0
15.9200000,0.4110199,-47.4021381,-0.5401025,-0.000000,6.0,0.0
17.9100000,2.1177553,-48.4254437,-0.5401025,0.000000,6.0,0.0
19.9000000,3.8244907,-49.4487492,-0.5401025,-0.000000,6.0,0.0
21.8900000,5.5312261,-50.4720548,-0.5401025,0.000000,6.0,0.0
23.8800000,7.2379615,-51.4953603,-0.5401025,0.000000,6.0,0.0
25.8700000,8.9446969,-52.5186659,-0.5401025,0.000000,6.0,0.0
27.8600000,10.6514323,-53.5419714,-0.5401025,-0.000000,6.0,0.0
29.8500000,12.3581677,-54.5652770,-0.5401025,-0.000000,6.0,0.0
31.8400000,14.0649031,-55.5885825,-0.5401025,0.000000,6.0,0.0
33.8300000,15.7716385,-56.6118881,-0.5400163,0.000087,6.0,0.0
35.8199992,17.4785497,-57.6348988,-0.4334371,0.108558,6.0,0.0
37.8007214,19.3546676,-58.2700698,-0.2176308,0.110780,6.0,0.0
39.7846918,21.3268646,-58.4858883,0.0003985,0.111534,6.0,0.0
41.7660710,23.2962821,-58.2684992,0.2385577,0.131565,6.0,0.0
43.7485147,25.1466338,-57.5569643,0.5031077,0.139243,6.0,0.0
45.7323451,26.7390263,-56.3738037,0.6938573,0.055259,6.0,0.0
47.7223451,28.1970753,-55.0194797,0.7485332,-0.000000,6.0,0.0
49.7123451,29.6551242,-53.6651558,0.7485332,0.000000,6.0,0.0
51.7023451,31.1131732,-52.3108319,0.7485332,0.000000,6.0,0.0
53.6923451,32.5712221,-50.9565080,0.7485332,-0.000000,6.0,0.0
55.6823451,34.0292710,-49.6021841,0.7485332,0.000000,6.0,0.0
57.6723451,35.4873200,-48.2478602,0.7485332,0.000000,6.0,0.0
59.6623451,36.9453689,-46.8935362,0.7485332,-0.000000,6.0,0.0
61.6523451,38.4034179,-45.5392123,0.7485332,-0.000000,6.0,0.0
63.6423451,39.8614668,-44.1848884,0.7532246,0.004716,6.0,0.0
65.6321646,41.3066127,-42.8170671,0.7865926,0.028854,6.0,0.0
67.6212017,42.6704249,-41.3692119,0.8788959,0.064271,6.0,0.0
69.6075218,43.8377600,-39.7621038,1.1082805,0.170380,6.0,0.0
71.5975120,44.4204076,-37.8593209,1.3633207,0.090893,6.0,0.0
73.5838483,44.6535481,-35.8867142,1.5143168,0.061667,6.0,0.0
75.5737198,44.6444436,-33.8968635,1.5766511,0.001286,6.0,0.0
77.5637198,44.6302468,-31.9069141,1.5779305,0.000000,6.0,0.0
79.5537198,44.6160500,-29.9169648,1.5779305,-0.000000,6.0,0.0
81.5437198,44.6018532,-27.9270154,1.5779305,0.000000,6.0,0.0
83.5337198,44.5876564,-25.9370660,1.5779305,0.000000,6.0,0.0
85.5237198,44.5734596,-23.9471167,1.5779305,-0.000000,6.0,0.0
87.5137198,44.5592628,-21.9571673,1.5779305,0.000000,6.0,0.0
89.5037198,44.5450660,-19.9672180,1.5779305,-0.000000,6.0,0.0
91.4937198,44.5308692,-17.9772686,1.5779305,0.000000,6.0,0.0
93.4837198,44.5166724,-15.9873193,1.5779305,-0.000000,6.0,0.0
95.4737198,44.5024756,-13.9973699,1.5779305,0.000000,6.0,0.0
97.4637198,44.4882788,-12.0074205,1.5779305,0.000000,6.0,0.0
99.4537198,44.4740820,-10.0174712,1.5779305,-0.000000,6.0,0.0
101.4437198,44.4598852,-8.0275218,1.5779305,-0.000000,6.0,0.0
103.4337198,44.4456884,-6.0375725,1.5784040,0.000476,6.0,0.0
105.4237185,44.4296071,-4.0476387,1.5797374,0.000864,6.0,0.0
107.4137185,44.4101032,-2.0577343,1.5805974,-0.000000,6.0,0.0
