s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-13.3105964,-41.1888313,-2.1104506,0.000091,14.0000,0.0000
0.2499299,-13.0961834,-41.3172527,-2.1104274,0.000095,14.0000,0.0000
0.4998598,-12.8817674,-41.4456690,-2.1104032,0.000099,14.0000,0.0000
0.7497898,-12.6673483,-41.5740800,-2.1103780,0.000103,14.0000,0.0000
0.9997197,-12.4529258,-41.7024855,-2.1103518,0.000107,14.0000,0.0000
1.2496496,-12.2384999,-41.8308852,-2.1103245,0.000111,14.0000,0.0000
1.4995795,-12.0240704,-41.9592790,-2.1102962,0.000115,14.0000,0.0000
1.7495094,-11.8096372,-42.0876666,-2.1102668,0.000120,14.0000,0.0000
1.9994394,-11.5952002,-42.2160478,-2.1102364,0.000124,14.0000,0.0000
2.2493693,-11.3807592,-42.3444224,-2.1102050,0.000128,14.0000,0.0000
2.4992992,-11.1663141,-42.4727901,-2.1101726,0.000132,14.0000,0.0000
2.7492291,-10.9518649,-42.6011508,-2.1101391,0.000136,14.0000,0.0000
2.9991591,-10.7374112,-42.7295042,-2.1101047,0.000140,14.0000,0.0000
3.2490890,-10.5229530,-42.8578500,-2.1100691,0.000144,14.0000,0.0000
3.4990189,-10.3084902,-42.9861882,-2.1100326,0.000148,14.0000,0.0000
3.7489488,-10.0940227,-43.1145184,-2.1099950,0.000152,14.0000,0.0000
3.9988787,-9.8795503,-43.2428404,-2.1099564,0.000157,14.0000,0.0000
4.2488087,-9.6650728,-43.3711540,-2.1099168,0.000161,14.0000,0.0000
4.4987386,-9.4505902,-43.4994591,-2.1098761,0.000165,14.0000,0.0000
4.7486685,-9.2361023,-43.6277553,-2.1098344,0.000169,14.0000,0.0000
4.9985984,-9.0216090,-43.7560424,-2.1097917,0.000173,14.0000,0.0000
5.2485283,-8.8071102,-43.8843203,-2.1097479,0.000177,14.0000,0.0000
5.4984583,-8.5926057,-44.0125886,-2.1097032,0.000181,14.0000,0.0000
5.7483882,-8.3780953,-44.1408473,-2.1096574,0.000185,14.0000,0.0000
5.9983181,-8.1635791,-44.2690960,-2.1096105,0.000189,14.0000,0.0000
6.2482480,-7.9490567,-44.3973346,-2.1095627,0.000194,14.0000,0.0000
6.4981779,-7.7345282,-44.5255628,-2.1095138,0.000198,14.0000,0.0000
6.7481079,-7.5199933,-44.6537804,-2.1094638,0.000202,14.0000,0.0000
6.9980378,-7.3054519,-44.7819871,-2.1094129,0.000206,14.0000,0.0000
7.2479677,-7.0909040,-44.9101828,-2.1093609,0.000210,14.0000,0.0000
7.4978976,-6.8763493,-45.0383673,-2.1093079,0.000214,14.0000,0.0000
7.7478275,-6.6617878,-45.1665403,-2.1092539,0.000218,14.0000,0.0000
7.9977575,-6.4472193,-45.2947016,-2.1091988,0.000222,14.0000,0.0000
8.2476874,-6.2326436,-45.4228509,-2.1091427,0.000227,14.0000,0.0000
8.4976173,-6.0180607,-45.5509881,-2.1090856,0.000231,14.0000,0.0000
8.7475472,-5.8034704,-45.6791130,-2.1090275,0.000235,14.0000,0.0000
8.9974772,-5.5888726,-45.8072252,-2.1089683,0.000239,14.0000,0.0000
9.2474071,-5.3742672,-45.9353247,-2.1089081,0.000243,14.0000,0.0000
9.4973370,-5.1596539,-46.0634111,-2.1088468,0.000247,14.0000,0.0000
9.7472669,-4.9450328,-46.1914842,-2.1087846,0.000251,14.0000,0.0000
9.9971968,-4.7304036,-46.3195439,-2.1087213,0.000255,14.0000,0.0000
10.2471268,-4.5157663,-46.4475899,-2.1086569,0.000259,14.0000,0.0000
10.4970567,-4.3011206,-46.5756219,-2.1085916,0.000264,14.0000,0.0000
10.7469866,-4.0864665,-46.7036399,-2.1085252,0.000268,14.0000,0.0000
10.9969165,-3.8718039,-46.8316434,-2.1084578,0.000272,14.0000,0.0000
11.2468464,-3.6571325,-46.9596324,-2.1083893,0.000276,14.0000,0.0000
11.4967764,-3.4424524,-47.0876066,-2.1083198,0.000280,14.0000,0.0000
11.7467063,-3.2277632,-47.2155657,-2.1082493,0.000284,14.0000,0.0000
11.9966362,-3.0130650,-47.3435096,-2.1081778,0.000288,14.0000,0.0000
12.2465661,-2.7983576,-47.4714380,-2.1081052,0.000293,14.0000,0.0000
