s_m,x_m,y_m,psi_rad,kappa_radpm,vx_mps,ax_mps2
0.0000000,-11.9651489,-40.2692833,-0.5309336,0.001417,9.0000,0.0000
0.7029309,-11.3588286,-40.6249341,-0.5300942,0.000971,9.0000,0.0000
1.4057819,-10.7523346,-40.9801305,-0.5295685,0.000525,9.0000,0.0000
2.1085375,-10.1457919,-41.3350552,-0.5293567,0.000078,9.0000,0.0000
2.8111821,-9.5393257,-41.6898905,-0.5294589,-0.000369,9.0000,0.0000
3.5136997,-8.9330610,-42.0448189,-0.5298753,-0.000816,9.0000,0.0000
4.2160749,-8.3271229,-42.4000229,-0.5306061,-0.001264,9.0000,0.0000
4.9182924,-7.7216365,-42.7556851,-0.5316515,-0.001713,9.0000,0.0000
5.6203376,-7.1167268,-43.1119878,-0.5330118,-0.002162,9.0000,0.0000
6.3221965,-6.5125188,-43.4691136,-0.5346874,-0.002612,9.0000,0.0000
7.0238565,-5.9091378,-43.8272450,-0.5366786,-0.003063,9.0000,0.0000
7.7253059,-5.3067086,-44.1865643,-0.5389857,-0.003515,9.0000,0.0000
8.4265345,-4.7053565,-44.5472542,-0.5416093,-0.003968,9.0000,0.0000
9.1275338,-4.1052065,-44.9094970,-0.5445496,-0.004421,9.0000,0.0000
9.8282970,-3.5063836,-45.2734754,-0.5478072,-0.004876,9.0000,0.0000
10.5288196,-2.9090129,-45.6393716,-0.5513824,-0.005331,9.0000,0.0000
11.2290991,-2.3132194,-46.0073683,-0.5552757,-0.005788,9.0000,0.0000
11.9291356,-1.7191284,-46.3776479,-0.5594874,-0.006245,9.0000,0.0000
12.6289321,-1.1268647,-46.7503929,-0.5640179,-0.006703,9.0000,0.0000
13.3284941,-0.5365535,-47.1257858,-0.5688676,-0.007162,9.0000,0.0000
14.0278307,0.0516801,-47.5040090,-0.5740366,-0.007621,9.0000,0.0000
14.7269539,0.6377111,-47.8852451,-0.5795251,-0.008080,9.0000,0.0000
15.4258795,1.2214144,-48.2696764,-0.5853332,-0.008540,9.0000,0.0000
16.1246314,1.8027568,-48.6573556,-0.5907264,-0.006739,9.0000,0.0000
16.8232517,2.3821585,-49.0476941,-0.5947455,-0.004766,9.0000,0.0000
17.5217773,2.9601788,-49.4399062,-0.5973850,-0.002791,9.0000,0.0000
18.2202350,3.5373775,-49.8332062,-0.5986442,-0.000815,9.0000,0.0000
18.9186462,4.1143139,-50.2268084,-0.5985227,0.001163,9.0000,0.0000
19.6170308,4.6915477,-50.6199269,-0.5970202,0.003140,9.0000,0.0000
20.3154107,5.2696384,-51.0117759,-0.5941367,0.005117,9.0000,0.0000
21.0138145,5.8491456,-51.4015699,-0.5898728,0.007093,9.0000,0.0000
21.7122809,6.4306287,-51.7885229,-0.5842292,0.009066,9.0000,0.0000
22.4108631,7.0146475,-52.1718493,-0.5772077,0.011035,9.0000,0.0000
23.1096323,7.6017613,-52.5507632,-0.5688109,0.012997,9.0000,0.0000
23.8086823,8.1925297,-52.9244790,-0.5590430,0.014947,9.0000,0.0000
24.5081328,8.7875124,-53.2922108,-0.5479101,0.016882,9.0000,0.0000
25.2081338,9.3872688,-53.6531730,-0.5354209,0.018796,9.0000,0.0000
25.9088691,9.9923585,-54.0065797,-0.5215869,0.020682,9.0000,0.0000
26.6105598,10.6033411,-54.3516452,-0.5064235,0.022530,9.0000,0.0000
27.3134685,11.2207760,-54.6875838,-0.4899503,0.024332,9.0000,0.0000
28.0179021,11.8452229,-55.0136096,-0.4721921,0.026075,9.0000,0.0000
28.7242155,12.4772413,-55.3289370,-0.4531794,0.027747,9.0000,0.0000
29.4328141,13.1173907,-55.6327801,-0.4329489,0.029336,9.0000,0.0000
30.1441566,13.7662307,-55.9243533,-0.4115444,0.030825,9.0000,0.0000
30.8587576,14.4243208,-56.2028707,-0.3890171,0.032201,9.0000,0.0000
31.5771889,15.0922206,-56.4675467,-0.3654259,0.033448,9.0000,0.0000
32.3000811,15.7704896,-56.7175954,-0.3408375,0.034552,9.0000,0.0000
33.0277773,16.4593928,-56.9520183,-0.3148034,0.037259,9.0000,0.0000
33.7586509,17.1574519,-57.1685585,-0.2863693,0.040622,9.0000,0.0000
34.4904671,17.8625497,-57.3644977,-0.2552615,0.044477,9.0000,0.0000
35.2211679,18.5725682,-57.5371169,-0.2211860,0.048887,9.0000,0.0000
35.9489039,19.2853892,-57.6836970,-0.1838177,0.053918,9.0000,0.0000
36.6720721,19.9988948,-57.8015193,-0.1428033,0.059629,9.0000,0.0000
37.3893601,20.7109669,-57.8878646,-0.0977674,0.066066,9.0000,0.0000
38.0997971,21.4194873,-57.9400141,-0.0483240,0.073246,9.0000,0.0000
38.8028129,22.1223380,-57.9552487,0.0059045,0.081135,9.0000,0.0000
39.4983039,22.8174009,-57.9308495,0.0652582,0.089622,9.0000,0.0000
40.1867050,23.5025579,-57.8640975,0.1299985,0.098486,9.0000,0.0000
40.8690631,24.1756910,-57.7522738,0.2002549,0.107371,9.0000,0.0000
41.5471093,24.8346829,-57.5926611,0.2758867,0.113814,9.0000,0.0000
42.2235708,25.4782117,-57.3841644,0.3496248,0.103861,9.0000,0.0000
42.9018724,26.1072141,-57.1302961,0.4163248,0.092642,9.0000,0.0000
43.5846594,26.7230253,-56.8353817,0.4756018,0.080960,9.0000,0.0000
44.2736761,27.3269808,-56.5037467,0.5273817,0.069400,9.0000,0.0000
44.9698680,27.9204158,-56.1397164,0.5718034,0.058323,9.0000,0.0000
45.6734945,28.5046655,-55.7476162,0.6091297,0.047902,9.0000,0.0000
46.3842430,29.0810652,-55.3317715,0.6396756,0.038178,9.0000,0.0000
47.1013368,29.6509503,-54.8965078,0.6637567,0.029095,9.0000,0.0000
47.8236346,30.2156559,-54.4461504,0.6816540,0.020547,9.0000,0.0000
48.5497217,30.7765174,-53.9850248,0.6935916,0.012393,9.0000,0.0000
49.2779923,31.3348701,-53.5174563,0.6997228,0.004473,9.0000,0.0000
50.0067264,31.8920492,-53.0477704,0.7001225,-0.003379,9.0000,0.0000
50.7341633,32.4493900,-52.5802924,0.6947840,-0.011334,9.0000,0.0000
51.4587234,33.0080137,-52.1188523,0.6863181,-0.010153,9.0000,0.0000
52.1799916,33.5674495,-51.6635948,0.6802889,-0.006549,9.0000,0.0000
52.8980301,34.1265091,-51.2130044,0.6769049,-0.002860,9.0000,0.0000
53.6128769,34.6840008,-50.7655574,0.6762023,0.000912,9.0000,0.0000
54.3245578,35.2387329,-50.3197300,0.6782172,0.004768,9.0000,0.0000
55.0331028,35.7895138,-49.8739988,0.6829858,0.008709,9.0000,0.0000
55.7385613,36.3351517,-49.4268399,0.6905436,0.012734,9.0000,0.0000
56.4410193,36.8744549,-48.9767297,0.7009244,0.016837,9.0000,0.0000
57.1406150,37.4062318,-48.5221446,0.7141588,0.021010,9.0000,0.0000
57.8375568,37.9292906,-48.0615609,0.7302708,0.025236,9.0000,0.0000
58.5321396,38.4424396,-47.5934549,0.7492754,0.029490,9.0000,0.0000
59.2247619,38.9444872,-47.1163030,0.7711733,0.033738,9.0000,0.0000
59.9159433,39.4342417,-46.6285815,0.7959469,0.037933,9.0000,0.0000
60.6063399,39.9105113,-46.1287667,0.8235543,0.042016,9.0000,0.0000
61.2967602,40.3721043,-45.6153351,0.8539241,0.045918,9.0000,0.0000
61.9881785,40.8178291,-45.0867628,0.8869496,0.049555,9.0000,0.0000
62.6817358,41.2465018,-44.5415459,0.9222667,0.051104,9.0000,0.0000
63.3781890,41.6573337,-43.9791722,0.9572883,0.049483,9.0000,0.0000
64.0775119,42.0501111,-43.4005718,0.9913627,0.047984,9.0000,0.0000
64.7795588,42.4246654,-42.8067883,1.0245615,0.046612,9.0000,0.0000
65.4841313,42.7808280,-42.1988650,1.0569589,0.045370,9.0000,0.0000
66.1909838,43.1184302,-41.5778456,1.0886306,0.044262,9.0000,0.0000
66.8998282,43.4373035,-40.9447735,1.1196534,0.043288,9.0000,0.0000
67.6103394,43.7372792,-40.3006922,1.1501045,0.042448,9.0000,0.0000
68.3221592,44.0181888,-39.6466454,1.1800616,0.041742,9.0000,0.0000
69.0349015,44.2798636,-38.9836764,1.2096025,0.041171,9.0000,0.0000
69.7481559,44.5221351,-38.3128288,1.2388052,0.040734,9.0000,0.0000
70.4614923,44.7448346,-37.6351462,1.2677479,0.040433,9.0000,0.0000
71.1744645,44.9477935,-36.9516720,1.2965090,0.040267,9.0000,0.0000
71.8866141,45.1308433,-36.2634497,1.3251675,0.040238,9.0000,0.0000
72.5974746,45.2938153,-35.5715229,1.3538031,0.040349,9.0000,0.0000
73.3065746,45.4365409,-34.8769351,1.3824963,0.040601,9.0000,0.0000
74.0134510,45.5588627,-34.1807228,1.4112093,0.040028,9.0000,0.0000
74.7180965,45.6612110,-33.4835498,1.4385720,0.037608,9.0000,0.0000
75.4211116,45.7448820,-32.7855316,1.4641213,0.035055,9.0000,0.0000
76.1230476,45.8112414,-32.0867394,1.4878030,0.032404,9.0000,0.0000
76.8243569,45.8616549,-31.3872445,1.5095777,0.029682,9.0000,0.0000
77.5253996,45.8974882,-30.6871181,1.5294184,0.026914,9.0000,0.0000
78.2264511,45.9201070,-29.9864316,1.5473083,0.024120,9.0000,0.0000
78.9277092,45.9308770,-29.2852563,1.5632390,0.021314,9.0000,0.0000
79.6293022,45.9311638,-28.5836633,1.5772078,0.018507,9.0000,0.0000
80.3312971,45.9223333,-27.8817240,1.5892165,0.015708,9.0000,0.0000
81.0337072,45.9057510,-27.1795096,1.5992695,0.012919,9.0000,0.0000
81.7365008,45.8827827,-26.4770915,1.6073725,0.010143,9.0000,0.0000
82.4396087,45.8547941,-25.7745408,1.6135312,0.007378,9.0000,0.0000
83.1429327,45.8231509,-25.0719290,1.6177508,0.004622,9.0000,0.0000
83.8463535,45.7892187,-24.3693272,1.6200345,0.001872,9.0000,0.0000
84.5497381,45.7543633,-23.6668067,1.6203841,-0.000878,9.0000,0.0000
85.2529485,45.7199504,-22.9644388,1.6187987,-0.003632,9.0000,0.0000
85.9558491,45.6873456,-22.2622948,1.6152756,-0.006395,9.0000,0.0000
86.6583199,45.6578661,-21.5604428,1.6101733,-0.007348,9.0000,0.0000
87.3603432,45.6320039,-20.8588961,1.6051653,-0.006919,9.0000,0.0000
88.0619760,45.6095609,-20.1576223,1.6004624,-0.006486,9.0000,0.0000
88.7632745,45.5903180,-19.4565878,1.5960660,-0.006051,9.0000,0.0000
89.4642922,45.5740559,-18.7557588,1.5919775,-0.005613,9.0000,0.0000
90.1650795,45.5605556,-18.0551015,1.5881980,-0.005173,9.0000,0.0000
90.8656845,45.5495978,-17.3545822,1.5847285,-0.004731,9.0000,0.0000
91.5661528,45.5409633,-16.6541672,1.5815700,-0.004287,9.0000,0.0000
92.2665278,45.5344330,-15.9538226,1.5787230,-0.003842,9.0000,0.0000
92.9668510,45.5297876,-15.2535148,1.5761882,-0.003396,9.0000,0.0000
93.6671621,45.5268080,-14.5532100,1.5739660,-0.002950,9.0000,0.0000
94.3674994,45.5252750,-13.8528745,1.5720568,-0.002502,9.0000,0.0000
95.0678995,45.5249695,-13.1524744,1.5704607,-0.002055,9.0000,0.0000
95.7683981,45.5256721,-12.4519761,1.5691781,-0.001607,9.0000,0.0000
96.4690299,45.5271638,-11.7513459,1.5682087,-0.001160,9.0000,0.0000
97.1698290,45.5292253,-11.0505499,1.5675527,-0.000713,9.0000,0.0000
97.8708286,45.5316376,-10.3495544,1.5672099,-0.000266,9.0000,0.0000
98.5720619,45.5341813,-9.6483258,1.5671799,0.000180,9.0000,0.0000
99.2735618,45.5366373,-8.9468301,1.5674626,0.000625,9.0000,0.0000
99.9753615,45.5387864,-8.2450337,1.5680574,0.001069,9.0000,0.0000
100.6774942,45.5404095,-7.5429029,1.5689638,0.001512,9.0000,0.0000
101.3799938,45.5412873,-6.8404038,1.5701814,0.001954,9.0000,0.0000
102.0828947,45.5412010,-6.1375029,1.5717025,0.002288,9.0000,0.0000
102.7862017,45.5400097,-5.4341970,1.5732609,0.002144,9.0000,0.0000
103.4898480,45.5377565,-4.7305543,1.5747197,0.002002,9.0000,0.0000
104.1937564,45.5345104,-4.0266534,1.5760795,0.001861,9.0000,0.0000
104.8978492,45.5303407,-3.3225729,1.5773408,0.001722,9.0000,0.0000
105.6020487,45.5253168,-2.6183913,1.5785042,0.001583,9.0000,0.0000
106.3062767,45.5195077,-1.9141873,1.5795701,0.001444,9.0000,0.0000
107.0104549,45.5129828,-1.2100394,1.5805387,0.001307,9.0000,0.0000
107.7145047,45.5058112,-0.5060261,1.5814105,0.001170,9.0000,0.0000
108.4183474,45.4980622,0.1977740,1.5821855,0.001033,9.0000,0.0000
109.1219041,45.4898051,0.9012822,1.5828641,0.000896,9.0000,0.0000
109.8250957,45.4811091,1.6044201,1.5834462,0.000759,9.0000,0.0000
110.5278431,45.4720434,2.3071090,1.5839319,0.000623,9.0000,0.0000
111.2300670,45.4626772,3.0092705,1.5843212,0.000486,9.0000,0.0000
111.9316880,45.4530799,3.7108258,1.5846140,0.000349,9.0000,0.0000
112.6326267,45.4433205,4.4116965,1.5848100,0.000211,9.0000,0.0000
113.3328035,45.4334684,5.1118041,1.5849091,0.000072,9.0000,0.0000
114.0321390,45.4235928,5.8110698,1.5849110,-0.000067,9.0000,0.0000
114.7305535,45.4137630,6.5094151,1.5848153,-0.000207,9.0000,0.0000
115.4279676,45.4040481,7.2067616,1.5846216,-0.000349,9.0000,0.0000
116.1243018,45.3945174,7.9030306,1.5843293,-0.000491,9.0000,0.0000
116.8194766,45.3852401,8.5981435,1.5839379,-0.000635,9.0000,0.0000
117.5134127,45.3762855,9.2920218,1.5834467,-0.000781,9.0000,0.0000
118.2060309,45.3677226,9.9845870,1.5828630,-0.000760,9.0000,0.0000
118.8973487,45.3594763,10.6758557,1.5827119,0.000325,9.0000,0.0000
119.5876418,45.3510871,11.3660977,1.5833135,0.001419,9.0000,0.0000
120.2772286,45.3420315,12.0556250,1.5846697,0.002515,9.0000,0.0000
120.9664291,45.3317863,12.7447495,1.5867804,0.003610,9.0000,0.0000
121.6555663,45.3198282,13.4337829,1.5896435,0.004698,9.0000,0.0000
122.3449667,45.3056340,14.1230371,1.5932544,0.005775,9.0000,0.0000
123.0349619,45.2886803,14.8128240,1.5976068,0.006837,9.0000,0.0000
123.7258898,45.2684438,15.5034555,1.6026918,0.007878,9.0000,0.0000
124.4180953,45.2444013,16.1952434,1.6084985,0.008894,9.0000,0.0000
125.1119318,45.2160294,16.8884996,1.6150136,0.009880,9.0000,0.0000
125.8077618,45.1828049,17.5835359,1.6222217,0.010831,9.0000,0.0000
126.5059580,45.1442045,18.2806642,1.6301053,0.011744,9.0000,0.0000
127.2069041,45.0997049,18.9801964,1.6386444,0.012613,9.0000,0.0000
127.9109958,45.0487829,19.6824443,1.6478172,0.013434,9.0000,0.0000
128.6186414,44.9909150,20.3877198,1.6575995,0.014204,9.0000,0.0000
129.3302621,44.9255780,21.0963347,1.6679654,0.014919,9.0000,0.0000
130.0462931,44.8522487,21.8086009,1.6788869,0.015576,9.0000,0.0000
130.7671836,44.7704038,22.5248304,1.6903342,0.016172,9.0000,0.0000
131.4933975,44.6795199,23.2453348,1.7022760,0.016704,9.0000,0.0000
132.2254131,44.5790738,23.9704261,1.7146794,0.017172,9.0000,0.0000
132.9636145,44.4684633,24.7002936,1.7282269,0.021123,9.0000,0.0000
133.7064061,44.3456253,25.4328578,1.7465076,0.028144,9.0000,0.0000
134.4505741,44.2072096,26.1640398,1.7701880,0.035588,9.0000,0.0000
